user_id,traded,traded_for,ds,notes
Kaye#1200,a,z,,
Kaye#1200,a,z,,
Kaye#1200,a,z,,
Kaye#1200,a,z,,
Kaye#1200,a,z,,
Kaye#1200,a,z,,
Kaye#1200,a,x,,
SaiVee#0052,Dyeworks White: Graveyard Fog (3),Glittering Gold Contacts (1-2),2023-03-23,I think I personally value the fog higher than it goes for right now but I was happy with this trade for a permenant custom
zeniththeblack#8925,Dyeworks Pink: Mint and Aqua Flower Wig  (1),Dyeworks Cream: Mint and Aqua Flower Wig (1),2023-03-23,swap
zeniththeblack#8925,Dyeworks White: Shimmering Ring of Generosity (1),Dyeworks White: Just Peachy Filter (1),2023-03-23,fair
zeniththeblack#8925,Dyeworks Blue: Just Peachy Filter (1),1 dyepot,2023-03-23,fair
zeniththeblack#8925,Dyeworks Lavender: Flowering Vine String Lights (1-2),Long Layered Brunette Wig (1-2),2023-03-23,fair
2bfair#3550,flowery forest background  (3),gbc x3,2023-03-19,
2bfair#3550,inside circus tent background  (4-5) + dyeworks white: radiant glow (4-5),unsettling fog foreground  (8-10),2023-03-21,
sherru#0042,Dignified Updo (6) + Galaxy Swirl Wig (8) + Spring Gradient Filter (2-3) + Summer Glow Makeup (3-4) + Bottled Winter Faerie Magic (6) + Grumpy Plumpy Eyes (4),MiniMME13-B: Gothic Sunbeam Shower (30),2023-03-23,"fair, all personal values taking into account recent rr (archives or cap-wise), offered all items for the sunbeam and trader was in agreement with values before we traded"
Rexaura#5303,"Tranquil Lily Pad Pond Background (1, buyable) + FQC (0.5)",Vision of Hearts (1-2),2023-03-24,fair
zeniththeblack#8925,Dyeworks Pink: Mint and Aqua Flower Wig (1),Dyeworks Mint: Lavender Petal Dress (1),2023-03-24,fair
SaiVee#0052,Dyeworks Turquoise: Quaint Seat on the Moon (1-2),Dyeworks Pink: Quaint Seat on the Moon (1-2),2023-03-24,
SaiVee#0052,Emanating Aura (1) + Shimmering Ring of Generosity (1),Spiraling Golden Markings (2-3),2023-03-24,both items buyable for spring DW
We are family#0421,handheld moon balloon (20),spring banner Garland (18-20),2023-03-24,Fair in the sense that the Garland is astronomically difficult to find.  Therefore traders 18-20 seems a fair value imo
zeniththeblack#8925,Glowing Sun Rays Filter (2),MME22-S4b: The Great Library Background (1),2023-03-24,overoffer
glitter#1312,Dyeworks Blue: Baby Summer Wings (1-2) + Ripped Jeans and Tied Flannel (1-2) + Shenkuu Growing Flower Vine (1),3 gbcs (3),2023-03-24,fair
zeniththeblack#8925,Dyeworks Mint: Emanating Aura (1),Altador Cup Cheerleader Laurel Wig (1),2023-03-24,fair
Grindelwalds_Bitch#9672,Dyeworks Lavender: Just Peacy Filter (1) + Dyeworks White: Just Peachy Filter (1),BF GBC x2 (2),2023-03-24,Fair
Grindelwalds_Bitch#9672,Dyeworks Rainbow: Emanating Aura x2 (2),BF GBC x2 (2),2023-03-24,Fair
jess (lover_girl91307) +2#1707,1 fqc,Dyeworks White: Shimmering Ring of Generosity (1),2023-03-23,fair
jess (lover_girl91307) +2#1707,Dyeworks Pink: Mint and Aqua Flower Wig (1),Dyeworks Cream: Mint and Aqua Flower Wig (1),2023-03-23,fair
glitter#1312,Baby Colorblock PJ Top,1 gbc,2023-03-24,fair
mallennial pink#0315,Dyeworks Mint: Sheer Scalloped Maraquan Cape (1-2) + 2 bfgbc,Dyeworks Pink: Sheer Scalloped Maraquan Cape (1-2) + Potted Flower Foreground (1-2) + Dyeworks Pink: Field of Flowers Foreground (1-2),2023-03-24,
Andra & the Kacheeks#1132,8 BF GBCs (8),Bed of Shamrock Foreground (8),2023-03-23,Fair
mallennial pink#0315,Dyeworks Mint: Sheer Scalloped Maraquan Cape (1-2),Dyeworks Pink: Shimmering Ring of Generosity (1-2),2023-03-24,
Andra & the Kacheeks#1132,3 BF GBCs (3) + Golden Laurel Crown (1),Serene Secret Forest Background (3-5/4),2023-03-24,Fair
We are family#0421,maraquan jewelled Foreground (7-8),maraquan velvet dress (8),2023-03-23,
windchimey#7047,2 BF GBC (2),Dyeworks White: Shimmering Ring of Generosity (1) + Fluffy Ear Muffs (1) + Black and White Sitting Room Background (1),2023-03-05,Ear muffs and BG were in a 2:1 GBC sale
MinusMay#1437,Dyeworks Mint: Emanating Aura (1) + Dyeworks Pink: Shimmering Ring of Generosity (1) + Dyeworks Lavender: Just Peachy Filter (1),Viny Portal Foreground (2-3),2023-03-25,fair
SmilingZil#2411,Holiday Light Contacts (1-2),Glittery Red Trees Foreground (1-2),2023-03-25,
2bfair#3550,bright sun dress  (6-7),irradiated sky background  (6-7),2023-03-22,
2bfair#3550,magical floral wig  (12),make your own gingerbread house background  (6-7) + loose half braid wig (4-5),2023-03-24,
SmilingZil#2411,"Vintage Forest Green Sweater (2), Carnival Treats Foreground (1)",Among Tropical Flowers Background (2-3),2023-03-25,
windchimey#7047,Dyeworks Green: Mutant Ethereal Glow (1),Dyeworks Black: Bitten Snowbunny Ears Headband (1),2023-03-25,All dws are currently dyeable.
windchimey#7047,4x GBC (4),Dyeworks Blue: Shimmering Ring of Generosity (1) + Dyeworks Mint: Emanating Aura (1) + Dyeworks Blue: Emanating Aura (1) + Dark Hearted Background (1),2023-03-25,All dws are currently dyeable
windchimey#7047,2x BF GBC (2),Affluent Banker Shirt and Jacket (2-4),2023-03-25,"2 was traders value when asked, I personally believe value could range a little higher since its HTF"
windchimey#7047,4x BF GBC,Red Poppy Field Background (4-5),2023-03-25,
wheresmysupersuit#6939,2 Dyepots,Dyeworks Red: Mutant Ethereal Glow x2 (1-2),2023-03-25,
Burger Patty#7487,1 GBC (1),Long Swept Locks with Headband Wig (1-2) + Dress of Enchanted Gardens (1-2),2023-03-24,2:1 GBC sale
Andra & the Kacheeks#1132,4 BF GBCs (4),Green Ivy Markings (2-4/4),2023-03-24,Fair
2bfair#3550,war paint  (10),sparkly gold lace gloves  (10),2023-03-24,
birbloom#0289,Mysterious Cape With Cowl (1-2),2x Dyeworks Hue Brew Potion,2023-03-27,fair
cherikter#7726,Queen of the Forest Fantasy Antlers (1-2),Iced Matcha Latte (1-2),2023-03-26,fair
Kaye#1200,a,br,2023-03-24,life's a b
Kaye#1200,a,br,2023-03-24,
Kaye#1200,a,br,2023-03-26,
Kaye#1200,a,br,2023-03-26,
Kaye#1200,a,b,2023-03-26,
2bfair#3550,barbecue apron  (5-6) + sizzling bbq grill  (1-2),slouchy glittering sweater  (6) + gbc x1,2023-03-25,
2bfair#3550,king Hagan collectors balcony background  (6-7),wheel of excitement collectors wand (6-7),2023-03-25,
Sissiy#1090,15 BFGBCS,Smiling Eyes Contacts,2023-03-26,
112211334#1326,Cherry Blossom Season Background  (4-5),MME26-S3a: Faerie Petpets Frolicking (3-4),2023-03-25,fair
Lau#7397,70 bfgbcs (70),MiniMME17-B: Evening Rooftop Background (70),2023-03-26,
Lau#7397,5 bfgbcs (5),Subtle Blush  (5),2023-03-26,
heather#4444,Abstract Art (3),3 GBCs,2023-03-23,rare item. zero trade data. 3 seemed fair to both traders.
Lau#7397,10 bfgbcs (10),Glittery Dancing Shoes (10),2023-03-26,
Lau#7397,7 bfgbcs (7),Dusty Grey Bouquet Box (6-7),2023-03-26,
